debt,income,name,oneyear,rank,revenue,timestamp,val,year
0.0,141200000.0,New York Knicks,0.1,1 ,376000000.0,20180129170943,3300000000.0,2017
0.01,119200000.0,Los Angeles Lakers,0.11,2 ,333000000.0,20180129170943,3000000000.0,2017
0.1,74200000.0,Golden State Warriors,0.37,3 ,305000000.0,20180129170943,2600000000.0,2017
0.02,45500000.0,Chicago Bulls,0.09,4 ,232000000.0,20180129170943,2500000000.0,2017
0.07,60100000.0,Boston Celtics,0.05,5 ,200000000.0,20180129170943,2200000000.0,2017
0.0,-11800000.0,Los Angeles Clippers,0.0,6 ,185000000.0,20180129170943,2000000000.0,2017
0.14,15700000.0,Brooklyn Nets,0.06,7 ,223000000.0,20180129170943,1800000000.0,2017
0.08,62700000.0,Houston Rockets,0.1,8 ,244000000.0,20180129170943,1650000000.0,2017
0.08,40300000.0,Dallas Mavericks,0.04,9 ,194000000.0,20180129170943,1450000000.0,2017
0.05,21100000.0,Miami Heat,0.04,10 ,210000000.0,20180129170943,1350000000.0,2017
0.17,-40200000.0,Cleveland Cavaliers,0.09,11 ,233000000.0,20180129170943,1200000000.0,2017
0.06,18400000.0,San Antonio Spurs,0.02,12 ,187000000.0,20180129170943,1175000000.0,2017
0.1,46100000.0,Toronto Raptors,0.15,13 ,193000000.0,20180129170943,1125000000.0,2017
0.17,26300000.0,Phoenix Suns,0.1,14 ,173000000.0,20180129170943,1100000000.0,2017
0.47,18400000.0,Sacramento Kings,0.16,15 ,164000000.0,20180129170943,1075000000.0,2017
0.1,41200000.0,Portland Trail Blazers,0.08,16 ,178000000.0,20180129170943,1050000000.0,2017
0.14,-8400000.0,Oklahoma City Thunder,0.08,17 ,187000000.0,20180129170943,1024999999.9999999,2017
0.13,6600000.0,Washington Wizards,0.04,18 ,155000000.0,20180129170943,1000000000.0,2017
0.16,44700000.0,Orlando Magic,0.02,19 ,166000000.0,20180129170943,920000000.0,2017
0.08,36000000.0,Utah Jazz,0.04,20 ,164000000.0,20180129170943,910000000.0,2017
0.21,21800000.0,Detroit Pistons,0.06,21 ,172000000.0,20180129170943,900000000.0,2017
0.0,21200000.0,Denver Nuggets,0.04,22 ,157000000.0,20180129170943,890000000.0,2017
0.28,19800000.0,Atlanta Hawks,0.07,23 ,169000000.0,20180129170943,885000000.0,2017
0.17,23900000.0,Indiana Pacers,0.05,24 ,157000000.0,20180129170943,880000000.0,2017
0.19,18200000.0,Philadelphia 76ers,0.14,25 ,140000000.0,20180129170943,800000000.0,2017
0.22,200000.0,Memphis Grizzlies,0.01,26 ,155000000.0,20180129170943,790000000.0,2017
0.54,24000000.0,Milwaukee Bucks,0.16,27 ,146000000.0,20180129170943,785000000.0,2017
0.19,9400000.0,Charlotte Hornets,0.04,28 ,158000000.0,20180129170943,780000000.0,2017
0.18,25900000.0,Minnesota Timberwolves,0.07,29 ,154000000.0,20180129170943,770000000.0,2017
0.17,16700000.0,New Orleans Pelicans,0.15,30 ,156000000.0,20180129170943,750000000.0,2017
0.0,141200000.0,New York Knicks,0.1,1 ,376000000.0,20180202080638,3300000000.0,2017
0.01,119200000.0,Los Angeles Lakers,0.11,2 ,333000000.0,20180202080638,3000000000.0,2017
0.1,74200000.0,Golden State Warriors,0.37,3 ,305000000.0,20180202080638,2600000000.0,2017
0.02,45500000.0,Chicago Bulls,0.09,4 ,232000000.0,20180202080638,2500000000.0,2017
0.07,60100000.0,Boston Celtics,0.05,5 ,200000000.0,20180202080638,2200000000.0,2017
0.0,-11800000.0,Los Angeles Clippers,0.0,6 ,185000000.0,20180202080638,2000000000.0,2017
0.14,15700000.0,Brooklyn Nets,0.06,7 ,223000000.0,20180202080638,1800000000.0,2017
0.08,62700000.0,Houston Rockets,0.1,8 ,244000000.0,20180202080638,1650000000.0,2017
